totaloutput 	 -0.49747322298150193 	 expectedoutput: 	-1.6169345666419401
totaloutput 	 -0.5037230581950011 	 expectedoutput: 	-1.6169345666419401
totaloutput 	 -0.5100317282066246 	 expectedoutput: 	-1.6169345666419401
totaloutput 	 -0.5163993713961686 	 expectedoutput: 	-1.6169345666419401
totaloutput 	 -0.5228261217332563 	 expectedoutput: 	-1.6169345666419401
totaloutput 	 -0.5293121087532321 	 expectedoutput: 	-1.6169345666419401
totaloutput 	 -0.5358574575322195 	 expectedoutput: 	-1.6169345666419401
totaloutput 	 -0.5424622886614054 	 expectedoutput: 	-1.6169345666419401
totaloutput 	 -0.5491267182203924 	 expectedoutput: 	-1.6169345666419401
totaloutput 	 -0.5558508577498391 	 expectedoutput: 	-1.6169345666419401
totaloutput 	 -0.5626348142230975 	 expectedoutput: 	-1.6169345666419401
totaloutput 	 -0.5694786900171278 	 expectedoutput: 	-1.6169345666419401
totaloutput 	 -0.5763825828824444 	 expectedoutput: 	-1.6169345666419401
totaloutput 	 -0.5833465859122428 	 expectedoutput: 	-1.6169345666419401
totaloutput 	 -0.5903707875106305 	 expectedoutput: 	-1.6169345666419401
totaloutput 	 -0.597455271359911 	 expectedoutput: 	-1.6169345666419401
totaloutput 	 -0.6046001163871092 	 expectedoutput: 	-1.6169345666419401
totaloutput 	 -0.6118053967294458 	 expectedoutput: 	-1.6169345666419401
totaloutput 	 -0.6190711816989418 	 expectedoutput: 	-1.6169345666419401
totaloutput 	 -0.6263975357462245 	 expectedoutput: 	-1.6169345666419401
totaloutput 	 -0.6337845184232106 	 expectedoutput: 	-1.6169345666419401
totaloutput 	 -0.6412321843450258 	 expectedoutput: 	-1.6169345666419401
totaloutput 	 -0.648740583150919 	 expectedoutput: 	-1.6169345666419401
totaloutput 	 -0.6563097594642674 	 expectedoutput: 	-1.6169345666419401
totaloutput 	 -0.6639397528516067 	 expectedoutput: 	-1.6169345666419401
totaloutput 	 -0.6716305977807437 	 expectedoutput: 	-1.6169345666419401
totaloutput 	 -0.6793823235779515 	 expectedoutput: 	-1.6169345666419401
totaloutput 	 -0.6871949543840897 	 expectedoutput: 	-1.6169345666419401
totaloutput 	 -0.6950685091099166 	 expectedoutput: 	-1.6169345666419401
totaloutput 	 -0.703003001390338 	 expectedoutput: 	-1.6169345666419401
totaloutput 	 -0.7109984395377531 	 expectedoutput: 	-1.6169345666419401
totaloutput 	 -0.7190548264943845 	 expectedoutput: 	-1.6169345666419401
totaloutput 	 -0.7271721597836766 	 expectedoutput: 	-1.6169345666419401
totaloutput 	 -0.7353504314607034 	 expectedoutput: 	-1.6169345666419401
totaloutput 	 -0.7435896280616271 	 expectedoutput: 	-1.6169345666419401
totaloutput 	 -0.751889730552156 	 expectedoutput: 	-1.6169345666419401
totaloutput 	 -0.7602507142750559 	 expectedoutput: 	-1.6169345666419401
totaloutput 	 -0.7686725488966821 	 expectedoutput: 	-1.6169345666419401
totaloutput 	 -0.7771551983524936 	 expectedoutput: 	-1.6169345666419401
totaloutput 	 -0.7856986207916934 	 expectedoutput: 	-1.6169345666419401
totaloutput 	 -0.7943027685207917 	 expectedoutput: 	-1.6169345666419401
totaloutput 	 -0.8029675879462668 	 expectedoutput: 	-1.6169345666419401
totaloutput 	 -0.8116930195162088 	 expectedoutput: 	-1.6169345666419401
totaloutput 	 -0.8204789976610821 	 expectedoutput: 	-1.6169345666419401
totaloutput 	 -0.8293254507334031 	 expectedoutput: 	-1.6169345666419401
totaloutput 	 -0.8382323009465095 	 expectedoutput: 	-1.6169345666419401
totaloutput 	 -0.847199464312467 	 expectedoutput: 	-1.6169345666419401
totaloutput 	 -0.856226850578871 	 expectedoutput: 	-1.6169345666419401
totaloutput 	 -0.8653143631647847 	 expectedoutput: 	-1.6169345666419401
totaloutput 	 -0.8744618990957086 	 expectedoutput: 	-1.6169345666419401
totaloutput 	 -0.8836693489376528 	 expectedoutput: 	-1.6169345666419401
totaloutput 	 -0.8929365967302144 	 expectedoutput: 	-1.6169345666419401
totaloutput 	 -0.9022635199187815 	 expectedoutput: 	-1.6169345666419401
totaloutput 	 -0.9116499892858062 	 expectedoutput: 	-1.6169345666419401
totaloutput 	 -0.9210958688811709 	 expectedoutput: 	-1.6169345666419401
totaloutput 	 -0.9306010159516239 	 expectedoutput: 	-1.6169345666419401
totaloutput 	 -0.9401652808693809 	 expectedoutput: 	-1.6169345666419401
totaloutput 	 -0.9497885070598032 	 expectedoutput: 	-1.6169345666419401
totaloutput 	 -0.9594705309282128 	 expectedoutput: 	-1.6169345666419401
totaloutput 	 -0.9692111817858604 	 expectedoutput: 	-1.6169345666419401
totaloutput 	 -0.9790102817750095 	 expectedoutput: 	-1.6169345666419401
totaloutput 	 -0.9888676457933117 	 expectedoutput: 	-1.6169345666419401
totaloutput 	 -0.9987830814170752 	 expectedoutput: 	-1.6169345666419401
totaloutput 	 -1.0087563888241196 	 expectedoutput: 	-1.6169345666419401
totaloutput 	 -1.0187873607154858 	 expectedoutput: 	-1.6169345666419401
totaloutput 	 -1.0288757822365688 	 expectedoutput: 	-1.6169345666419401
totaloutput 	 -1.0390214308974088 	 expectedoutput: 	-1.6169345666419401
totaloutput 	 -1.04922407649228 	 expectedoutput: 	-1.6169345666419401
totaloutput 	 -1.059483481018485 	 expectedoutput: 	-1.6169345666419401
totaloutput 	 -1.0697993985945493 	 expectedoutput: 	-1.6169345666419401
totaloutput 	 -1.0801715753775865 	 expectedoutput: 	-1.6169345666419401
totaloutput 	 -1.0905997494801254 	 expectedoutput: 	-1.6169345666419401
totaloutput 	 -1.101083650886184 	 expectedoutput: 	-1.6169345666419401
totaloutput 	 -1.1116230013667743 	 expectedoutput: 	-1.6169345666419401
totaloutput 	 -1.1222175143948268 	 expectedoutput: 	-1.6169345666419401
totaloutput 	 -1.1328668950594214 	 expectedoutput: 	-1.6169345666419401
totaloutput 	 -1.143570839979555 	 expectedoutput: 	-1.6169345666419401
totaloutput 	 -1.154329037217409 	 expectedoutput: 	-1.6169345666419401
totaloutput 	 -1.1651411661910058 	 expectedoutput: 	-1.6169345666419401
totaloutput 	 -1.176006897586443 	 expectedoutput: 	-1.6169345666419401
totaloutput 	 -1.1869258932696607 	 expectedoutput: 	-1.6169345666419401
totaloutput 	 -1.1978978061978434 	 expectedoutput: 	-1.6169345666419401
totaloutput 	 -1.2089222803303525 	 expectedoutput: 	-1.6169345666419401
totaloutput 	 -1.2199989505393087 	 expectedoutput: 	-1.6169345666419401
totaloutput 	 -1.2311274425199248 	 expectedoutput: 	-1.6169345666419401
totaloutput 	 -1.2423073727004619 	 expectedoutput: 	-1.6169345666419401
totaloutput 	 -1.2535383481519338 	 expectedoutput: 	-1.6169345666419401
totaloutput 	 -1.264819966497626 	 expectedoutput: 	-1.6169345666419401
totaloutput 	 -1.276151815822385 	 expectedoutput: 	-1.6169345666419401
totaloutput 	 -1.2875334745817943 	 expectedoutput: 	-1.6169345666419401
totaloutput 	 -1.2989645115111799 	 expectedoutput: 	-1.6169345666419401
totaloutput 	 -1.31044448553462 	 expectedoutput: 	-1.6169345666419401
totaloutput 	 -1.321972945673835 	 expectedoutput: 	-1.6169345666419401
totaloutput 	 -1.3335494309571732 	 expectedoutput: 	-1.6169345666419401
totaloutput 	 -1.3451734703285565 	 expectedoutput: 	-1.6169345666419401
totaloutput 	 -1.3568445825565967 	 expectedoutput: 	-1.6169345666419401
totaloutput 	 -1.3685622761438216 	 expectedoutput: 	-1.6169345666419401
totaloutput 	 -1.3803260492360978 	 expectedoutput: 	-1.6169345666419401
totaloutput 	 -1.3921353895322435 	 expectedoutput: 	-1.6169345666419401
totaloutput 	 -1.4039897741939937 	 expectedoutput: 	-1.6169345666419401
totaloutput 	 -1.4158886697562663 	 expectedoutput: 	-1.6169345666419401
totaloutput 	 -1.4278315320377863 	 expectedoutput: 	-1.6169345666419401
totaloutput 	 -1.439817806052216 	 expectedoutput: 	-1.6169345666419401
totaloutput 	 -1.4518469259196543 	 expectedoutput: 	-1.6169345666419401
totaloutput 	 -1.463918314778866 	 expectedoutput: 	-1.6169345666419401
totaloutput 	 -1.4760313846998743 	 expectedoutput: 	-1.6169345666419401
totaloutput 	 -1.488185536597415 	 expectedoutput: 	-1.6169345666419401
totaloutput 	 -1.500380160145045 	 expectedoutput: 	-1.6169345666419401
totaloutput 	 -1.512614633689933 	 expectedoutput: 	-1.6169345666419401
totaloutput 	 -1.5248883241686206 	 expectedoutput: 	-1.6169345666419401
totaloutput 	 -1.5372005870235956 	 expectedoutput: 	-1.6169345666419401
totaloutput 	 -1.5495507661208705 	 expectedoutput: 	-1.6169345666419401
totaloutput 	 -1.5619381936685257 	 expectedoutput: 	-1.6169345666419401
totaloutput 	 -1.5743621901364144 	 expectedoutput: 	-1.6169345666419401
totaloutput 	 -1.5868220641769804 	 expectedoutput: 	-1.6169345666419401
totaloutput 	 -1.5993171125473225 	 expectedoutput: 	-1.6169345666419401
totaloutput 	 -1.6118466200324917 	 expectedoutput: 	-1.6169345666419401
