totaloutput 	 -0.3368290528156171 	 expectedoutput: 	-1.6169345666419401
totaloutput 	 -0.342370260357928 	 expectedoutput: 	-1.6169345666419401
totaloutput 	 -0.34797259443574774 	 expectedoutput: 	-1.6169345666419401
totaloutput 	 -0.3536361798115189 	 expectedoutput: 	-1.6169345666419401
totaloutput 	 -0.3593611370429844 	 expectedoutput: 	-1.6169345666419401
totaloutput 	 -0.3651475824633143 	 expectedoutput: 	-1.6169345666419401
totaloutput 	 -0.37099562816026 	 expectedoutput: 	-1.6169345666419401
totaloutput 	 -0.3769053819546817 	 expectedoutput: 	-1.6169345666419401
totaloutput 	 -0.382876947377904 	 expectedoutput: 	-1.6169345666419401
totaloutput 	 -0.38891042364836137 	 expectedoutput: 	-1.6169345666419401
totaloutput 	 -0.39500590564732235 	 expectedoutput: 	-1.6169345666419401
totaloutput 	 -0.4011634838936321 	 expectedoutput: 	-1.6169345666419401
totaloutput 	 -0.4073832445176461 	 expectedoutput: 	-1.6169345666419401
totaloutput 	 -0.4136652692340965 	 expectedoutput: 	-1.6169345666419401
totaloutput 	 -0.4200096353142045 	 expectedoutput: 	-1.6169345666419401
totaloutput 	 -0.4264164155567162 	 expectedoutput: 	-1.6169345666419401
totaloutput 	 -0.43288567825807 	 expectedoutput: 	-1.6169345666419401
totaloutput 	 -0.43941748718154816 	 expectedoutput: 	-1.6169345666419401
totaloutput 	 -0.4460119015255611 	 expectedoutput: 	-1.6169345666419401
totaloutput 	 -0.4526689758908821 	 expectedoutput: 	-1.6169345666419401
totaloutput 	 -0.45938876024695224 	 expectedoutput: 	-1.6169345666419401
totaloutput 	 -0.4661712998972358 	 expectedoutput: 	-1.6169345666419401
totaloutput 	 -0.4730166354435398 	 expectedoutput: 	-1.6169345666419401
totaloutput 	 -0.47992480274938476 	 expectedoutput: 	-1.6169345666419401
totaloutput 	 -0.4868958329023715 	 expectedoutput: 	-1.6169345666419401
totaloutput 	 -0.49392975217556195 	 expectedoutput: 	-1.6169345666419401
totaloutput 	 -0.5010265819878625 	 expectedoutput: 	-1.6169345666419401
totaloutput 	 -0.5081863388633849 	 expectedoutput: 	-1.6169345666419401
totaloutput 	 -0.5154090343898251 	 expectedoutput: 	-1.6169345666419401
totaloutput 	 -0.5226946751758065 	 expectedoutput: 	-1.6169345666419401
totaloutput 	 -0.5300432628072517 	 expectedoutput: 	-1.6169345666419401
totaloutput 	 -0.5374547938026419 	 expectedoutput: 	-1.6169345666419401
totaloutput 	 -0.5449292595674146 	 expectedoutput: 	-1.6169345666419401
totaloutput 	 -0.5524666463471682 	 expectedoutput: 	-1.6169345666419401
totaloutput 	 -0.5600669351800058 	 expectedoutput: 	-1.6169345666419401
totaloutput 	 -0.5677301018476646 	 expectedoutput: 	-1.6169345666419401
totaloutput 	 -0.5754561168258212 	 expectedoutput: 	-1.6169345666419401
totaloutput 	 -0.5832449452332271 	 expectedoutput: 	-1.6169345666419401
totaloutput 	 -0.5910965467799264 	 expectedoutput: 	-1.6169345666419401
totaloutput 	 -0.5990108757142647 	 expectedoutput: 	-1.6169345666419401
totaloutput 	 -0.6069878807691338 	 expectedoutput: 	-1.6169345666419401
totaloutput 	 -0.6150275051069478 	 expectedoutput: 	-1.6169345666419401
totaloutput 	 -0.6231296862637694 	 expectedoutput: 	-1.6169345666419401
totaloutput 	 -0.6312943560922526 	 expectedoutput: 	-1.6169345666419401
totaloutput 	 -0.6395214407037602 	 expectedoutput: 	-1.6169345666419401
totaloutput 	 -0.6478108604092465 	 expectedoutput: 	-1.6169345666419401
totaloutput 	 -0.6561625296593245 	 expectedoutput: 	-1.6169345666419401
totaloutput 	 -0.6645763569831554 	 expectedoutput: 	-1.6169345666419401
totaloutput 	 -0.6730522449264623 	 expectedoutput: 	-1.6169345666419401
totaloutput 	 -0.6815900899884397 	 expectedoutput: 	-1.6169345666419401
totaloutput 	 -0.6901897825577404 	 expectedoutput: 	-1.6169345666419401
totaloutput 	 -0.6988512068474115 	 expectedoutput: 	-1.6169345666419401
totaloutput 	 -0.7075742408288628 	 expectedoutput: 	-1.6169345666419401
totaloutput 	 -0.7163587561649183 	 expectedoutput: 	-1.6169345666419401
totaloutput 	 -0.7252046181417341 	 expectedoutput: 	-1.6169345666419401
totaloutput 	 -0.7341116855999832 	 expectedoutput: 	-1.6169345666419401
totaloutput 	 -0.7430798108648489 	 expectedoutput: 	-1.6169345666419401
totaloutput 	 -0.7521088396752019 	 expectedoutput: 	-1.6169345666419401
totaloutput 	 -0.7611986111118672 	 expectedoutput: 	-1.6169345666419401
totaloutput 	 -0.7703489575248437 	 expectedoutput: 	-1.6169345666419401
totaloutput 	 -0.7795597044596919 	 expectedoutput: 	-1.6169345666419401
totaloutput 	 -0.7888306705830457 	 expectedoutput: 	-1.6169345666419401
totaloutput 	 -0.798161667607093 	 expectedoutput: 	-1.6169345666419401
totaloutput 	 -0.8075525002133529 	 expectedoutput: 	-1.6169345666419401
totaloutput 	 -0.8170029659754424 	 expectedoutput: 	-1.6169345666419401
totaloutput 	 -0.8265128552810831 	 expectedoutput: 	-1.6169345666419401
totaloutput 	 -0.8360819512532199 	 expectedoutput: 	-1.6169345666419401
totaloutput 	 -0.8457100296703576 	 expectedoutput: 	-1.6169345666419401
totaloutput 	 -0.855396858886025 	 expectedoutput: 	-1.6169345666419401
totaloutput 	 -0.8651421997475657 	 expectedoutput: 	-1.6169345666419401
totaloutput 	 -0.874945805514026 	 expectedoutput: 	-1.6169345666419401
totaloutput 	 -0.8848074217734309 	 expectedoutput: 	-1.6169345666419401
totaloutput 	 -0.8947267863592122 	 expectedoutput: 	-1.6169345666419401
totaloutput 	 -0.9047036292660052 	 expectedoutput: 	-1.6169345666419401
totaloutput 	 -0.9147376725647237 	 expectedoutput: 	-1.6169345666419401
totaloutput 	 -0.9248286303169703 	 expectedoutput: 	-1.6169345666419401
totaloutput 	 -0.9349762084888692 	 expectedoutput: 	-1.6169345666419401
totaloutput 	 -0.9451801048641383 	 expectedoutput: 	-1.6169345666419401
totaloutput 	 -0.9554400089567688 	 expectedoutput: 	-1.6169345666419401
totaloutput 	 -0.965755601922941 	 expectedoutput: 	-1.6169345666419401
totaloutput 	 -0.9761265564725812 	 expectedoutput: 	-1.6169345666419401
totaloutput 	 -0.9865525367802832 	 expectedoutput: 	-1.6169345666419401
totaloutput 	 -0.9970331983957768 	 expectedoutput: 	-1.6169345666419401
totaloutput 	 -1.0075681881540164 	 expectedoutput: 	-1.6169345666419401
totaloutput 	 -1.018157144084788 	 expectedoutput: 	-1.6169345666419401
totaloutput 	 -1.0287996953219158 	 expectedoutput: 	-1.6169345666419401
totaloutput 	 -1.0394954620121781 	 expectedoutput: 	-1.6169345666419401
totaloutput 	 -1.050244055223855 	 expectedoutput: 	-1.6169345666419401
totaloutput 	 -1.061045076855054 	 expectedoutput: 	-1.6169345666419401
totaloutput 	 -1.0718981195417026 	 expectedoutput: 	-1.6169345666419401
totaloutput 	 -1.0828027665654159 	 expectedoutput: 	-1.6169345666419401
totaloutput 	 -1.0937585917611665 	 expectedoutput: 	-1.6169345666419401
totaloutput 	 -1.104765159424824 	 expectedoutput: 	-1.6169345666419401
totaloutput 	 -1.115822024220605 	 expectedoutput: 	-1.6169345666419401
totaloutput 	 -1.1269287310884664 	 expectedoutput: 	-1.6169345666419401
totaloutput 	 -1.1380848151515786 	 expectedoutput: 	-1.6169345666419401
totaloutput 	 -1.1492898016237205 	 expectedoutput: 	-1.6169345666419401
totaloutput 	 -1.1605432057168727 	 expectedoutput: 	-1.6169345666419401
totaloutput 	 -1.1718445325488605 	 expectedoutput: 	-1.6169345666419401
totaloutput 	 -1.1831932770512874 	 expectedoutput: 	-1.6169345666419401
totaloutput 	 -1.1945889238775955 	 expectedoutput: 	-1.6169345666419401
totaloutput 	 -1.2060309473114807 	 expectedoutput: 	-1.6169345666419401
totaloutput 	 -1.2175188111756499 	 expectedoutput: 	-1.6169345666419401
